id,train_acc,val_acc,best_epoch,Neurons,vdecay,vedecay_rec,hidden_layer_0,hidden_layer_1,out_layer,lr_hidden,lr_hidden_rec,lr_output,data_params,train_activations,val_activations,train_activations_fb,fb_angle,fb_ratio,session_name,seed,epochs
69,0.3639038744482589,0.3489399293286219,6,"[256, 256]",0.5,0.5,"[1.5, 1.5]","[0.5, 1.0]","[0.3, 0.6]","[0.003, 0.003]","[0.001, 0.003]",0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([35.4186, 12.6143, 28.1200])","tensor([36.8405, 14.3789, 29.8018])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_float_2_layers_v0/shd_biograd_rec_2_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_float_2_layers_v0_69,100364571,50
95,0.0550514958312898,0.0684628975265017,3,"[256, 256]",0.5,0.5,"[2.0, 4.0]","[1.5, 1.5]","[1.0, 2.0]","[0.003, 0.003]","[0.001, 0.003]",0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([45.1875,  2.4494,  0.1231])","tensor([48.7735,  3.7862,  0.7421])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_float_2_layers_v0/shd_biograd_rec_2_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_float_2_layers_v0_95,100364571,50
84,0.170794507111329,0.1974381625441696,8,"[256, 256]",0.5,0.5,"[2.0, 4.0]","[0.7, 0.7]","[0.3, 0.3]","[0.003, 0.003]","[0.001, 0.003]",0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([51.9140,  3.1322, 12.9609])","tensor([56.7455,  3.9578, 18.3614])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_float_2_layers_v0/shd_biograd_rec_2_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_float_2_layers_v0_84,100364571,50
85,0.1243256498283472,0.1484098939929328,6,"[256, 256]",0.5,0.5,"[2.0, 4.0]","[0.7, 0.7]","[0.3, 0.6]","[0.003, 0.003]","[0.001, 0.003]",0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([47.3679,  1.9863,  2.9120])","tensor([51.6816,  2.5880,  4.4450])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_float_2_layers_v0/shd_biograd_rec_2_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_float_2_layers_v0_85,100364571,50
76,0.3073810691515449,0.359982332155477,5,"[256, 256]",0.5,0.5,"[1.5, 1.5]","[2.0, 4.0]","[0.3, 0.3]","[0.003, 0.003]","[0.001, 0.003]",0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([43.2513,  5.2364, 17.7000])","tensor([45.5889,  5.2341, 17.9101])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_float_2_layers_v0/shd_biograd_rec_2_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_float_2_layers_v0_76,100364571,50
90,0.0834968121628249,0.0724381625441696,5,"[256, 256]",0.5,0.5,"[2.0, 4.0]","[0.5, 1.0]","[1.0, 1.0]","[0.003, 0.003]","[0.001, 0.003]",0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([48.1313,  3.1142,  0.5344])","tensor([52.5154,  3.9491,  1.0824])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_float_2_layers_v0/shd_biograd_rec_2_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_float_2_layers_v0_90,100364571,50
49,0.4469102501226091,0.4381625441696113,6,"[256, 256]",0.5,0.5,"[0.5, 1.0]","[0.5, 1.0]","[0.3, 0.6]","[0.003, 0.003]","[0.001, 0.003]",0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([37.1891, 16.7154, 27.0008])","tensor([37.6945, 17.6986, 27.5825])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_float_2_layers_v0/shd_biograd_rec_2_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_float_2_layers_v0_49,100364571,50
65,0.3759195684158901,0.3701413427561837,6,"[256, 256]",0.5,0.5,"[1.5, 1.5]","[0.7, 0.7]","[0.3, 0.6]","[0.003, 0.003]","[0.001, 0.003]",0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([36.5627, 12.2808, 28.2672])","tensor([38.1182, 13.7688, 30.3973])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_float_2_layers_v0/shd_biograd_rec_2_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_float_2_layers_v0_65,100364571,50
42,0.3885483079941147,0.3992932862190813,6,"[256, 256]",0.5,0.5,"[0.5, 1.0]","[0.2, 0.5]","[1.0, 1.0]","[0.003, 0.003]","[0.001, 0.003]",0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([42.7925, 22.8031, 30.6826])","tensor([47.6253, 24.9608, 32.7726])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_float_2_layers_v0/shd_biograd_rec_2_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_float_2_layers_v0_42,100364571,50
94,0.0757724374693477,0.0764134275618374,4,"[256, 256]",0.5,0.5,"[2.0, 4.0]","[1.5, 1.5]","[1.0, 1.0]","[0.003, 0.003]","[0.001, 0.003]",0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([45.4733,  3.4839,  0.3598])","tensor([48.5426,  4.7260,  0.8587])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_float_2_layers_v0/shd_biograd_rec_2_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_float_2_layers_v0_94,100364571,50
