id,train_acc,val_acc,best_epoch,Neurons,vdecay,vedecay_rec,hidden_layer,out_layer,lr_hidden,lr_hidden_rec,lr_output,data_params,train_activations,val_activations,train_activations_fb,fb_angle,fb_ratio,session_name,seed,epochs
70,0.6048307994114762,0.5569787985865724,8,[512],0.5,0.5,"[3.0, 3.0]","[1.0, 2.0]",0.003,0.1,0.01,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([24.5783, 16.3551])","tensor([25.0119, 16.6742])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_v3_neurons/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_v3_neurons_70,100364571,50
3,0.213707699852869,0.2495583038869258,1,[256],0.5,0.5,"[2.0, 4.0]","[1.0, 1.0]",0.003,0.1,0.03,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([18.3452,  1.4110])","tensor([17.3405,  1.6911])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_v3_neurons/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_v3_neurons_3,100364571,50
7,0.5375183913683178,0.5357773851590106,7,[256],0.5,0.5,"[2.0, 4.0]","[1.0, 2.0]",0.01,0.1,0.01,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([28.0847, 25.6195])","tensor([27.6021, 25.9149])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_v3_neurons/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_v3_neurons_7,100364571,50
34,0.6335213339872486,0.590547703180212,10,[256],0.5,0.5,"[3.0, 6.0]","[1.0, 2.0]",0.003,0.1,0.01,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([27.8667, 23.8059])","tensor([27.6050, 23.6485])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_v3_neurons/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_v3_neurons_34,100364571,50
41,0.8511525257479157,0.6996466431095406,43,[256],0.5,0.5,"[6.0, 6.0]","[1.0, 1.0]",0.003,0.1,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([33.5453, 19.4288])","tensor([33.9838, 19.9307])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_v3_neurons/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_v3_neurons_41,100364571,50
39,0.4649337910740559,0.4977915194346289,5,[256],0.5,0.5,"[6.0, 6.0]","[1.0, 1.0]",0.003,0.1,0.03,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([22.1683, 13.4612])","tensor([22.2166, 14.3245])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_v3_neurons/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_v3_neurons_39,100364571,50
66,0.4487493869543894,0.4218197879858657,4,[512],0.5,0.5,"[3.0, 3.0]","[1.0, 2.0]",0.01,0.1,0.03,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([25.4245, 13.3738])","tensor([26.4227, 14.2939])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_v3_neurons/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_v3_neurons_66,100364571,50
84,0.2403138793526238,0.2972614840989399,1,[512],0.5,0.5,"[6.0, 6.0]","[1.0, 1.0]",0.01,0.1,0.03,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([17.3501,  2.9907])","tensor([17.3020,  6.5605])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_v3_neurons/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_v3_neurons_84,100364571,50
49,0.5974742520843551,0.532243816254417,10,[512],0.5,0.5,"[2.0, 4.0]","[1.0, 1.0]",0.01,0.1,0.01,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([31.5543, 12.9984])","tensor([31.0163, 13.4742])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_v3_neurons/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_v3_neurons_49,100364571,50
45,0.4659146640510054,0.4492049469964664,5,[256],0.5,0.5,"[6.0, 6.0]","[1.0, 2.0]",0.003,0.1,0.03,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([20.6412, 21.2433])","tensor([21.5457, 21.5564])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_v3_neurons/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_v3_neurons_45,100364571,50
