id,train_acc,val_acc,best_epoch,Neurons,vdecay,vedecay_rec,hidden_layer,out_layer,lr_hidden,lr_hidden_rec,lr_output,fw_factor,rec_factor,data_params,train_activations,val_activations,train_activations_fb,train_batch_size,test_batch_size,fb_angle,fb_ratio,session_name,seed,epochs
193,0.2286660127513487,0.09849823321554771,13,[256],0.5,0.5,"[8000.0, 8000.0]","[1000.0, 2000.0]",9.5367431640625e-07,2.3283064365386963e-10,1.0,1.0,9.5367431640625e-07,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([3.9367, 0.5192])","tensor([26.5727,  0.3370])","tensor([nan, nan])",128,256,0,0,grid_search_shd_rsnn_int_v2/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_v2_193,100364571,50
85,0.10519862677783227,0.08436395759717315,3,[256],0.5,0.5,"[2000.0, 4000.0]","[2000.0, 4000.0]",3.814697265625e-06,1.4551915228366852e-11,0.25,1.0,9.5367431640625e-07,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([8.8589, 0.4837])","tensor([3.2707, 0.1070])","tensor([nan, nan])",128,256,0,0,grid_search_shd_rsnn_int_v2/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_v2_85,100364571,50
5,0.33631682197155466,0.11969964664310954,35,[256],0.5,0.5,"[2000.0, 4000.0]","[250.0, 500.0]",3.814697265625e-06,1.4551915228366852e-11,0.25,1.0,9.5367431640625e-07,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([20.8943,  0.6738])","tensor([49.1674, 16.3531])","tensor([nan, nan])",128,256,0,0,grid_search_shd_rsnn_int_v2/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_v2_5,100364571,50
320,0.1867336929867582,0.11925795053003534,48,[256],0.5,0.5,"[16000.0, 32000.0]","[2000.0, 4000.0]",3.814697265625e-06,9.313225746154785e-10,0.25,1.0,6.103515625e-05,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([12.9134,  0.4921])","tensor([27.7972,  0.3855])","tensor([nan, nan])",128,256,0,0,grid_search_shd_rsnn_int_v2/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_v2_320,100364571,50
90,0.2013241785188818,0.15106007067137808,19,[256],0.5,0.5,"[2000.0, 4000.0]","[2000.0, 4000.0]",3.814697265625e-06,9.313225746154785e-10,1.0,1.0,6.103515625e-05,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([10.6913,  0.5287])","tensor([32.6809,  1.3747])","tensor([nan, nan])",128,256,0,0,grid_search_shd_rsnn_int_v2/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_v2_90,100364571,50
46,0.23332515939185874,0.11749116607773852,44,[256],0.5,0.5,"[2000.0, 4000.0]","[1000.0, 2000.0]",3.814697265625e-06,3.637978807091713e-12,0.25,1.0,6.103515625e-05,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([45.6569,  0.4703])","tensor([52.0132,  0.1594])","tensor([nan, nan])",128,256,0,0,grid_search_shd_rsnn_int_v2/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_v2_46,100364571,50
97,0.3203776360961256,0.08171378091872791,25,[256],0.5,0.5,"[2000.0, 4000.0]","[2000.0, 4000.0]",3.814697265625e-06,3.637978807091713e-12,1.0,1.0,9.5367431640625e-07,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([8.7284, 0.5514])","tensor([46.2100,  1.7375])","tensor([nan, nan])",128,256,0,0,grid_search_shd_rsnn_int_v2/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_v2_97,100364571,50
268,0.13695438940657184,0.12985865724381626,47,[256],0.5,0.5,"[16000.0, 32000.0]","[250.0, 500.0]",9.5367431640625e-07,9.094947017729282e-13,0.25,1.0,6.103515625e-05,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([92.6825,  0.3597])","tensor([93.7009,  0.3273])","tensor([nan, nan])",128,256,0,0,grid_search_shd_rsnn_int_v2/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_v2_268,100364571,50
214,0.23099558607160373,0.09143109540636042,33,[256],0.5,0.5,"[8000.0, 8000.0]","[2000.0, 4000.0]",3.814697265625e-06,1.4551915228366852e-11,1.0,1.0,6.103515625e-05,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([7.9727, 0.5153])","tensor([27.9810,  0.1914])","tensor([nan, nan])",128,256,0,0,grid_search_shd_rsnn_int_v2/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_v2_214,100364571,50
6,0.22707209416380578,0.1704946996466431,23,[256],0.5,0.5,"[2000.0, 4000.0]","[250.0, 500.0]",3.814697265625e-06,3.637978807091713e-12,0.25,1.0,6.103515625e-05,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([24.0505,  0.4999])","tensor([46.7206,  0.3333])","tensor([nan, nan])",128,256,0,0,grid_search_shd_rsnn_int_v2/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_v2_6,100364571,50
