id,train_acc,val_acc,best_epoch,Neurons,vdecay,vedecay_rec,hidden_layer,out_layer,lr_hidden,lr_hidden_rec,lr_output,fw_factor,rec_factor,data_params,train_activations,val_activations,train_activations_fb,fb_angle,fb_ratio,session_name,seed,epochs
26,0.05125061304561059,0.04549469964664311,1,[256],0.5,0.5,"[500.0, 500.0]","[1000.0, 2000.0]",1.9073486328125e-06,5.960464477539063e-08,0.25,0.0625,6.103515625e-05,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([0., 0.])","tensor([0., 0.])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_int/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_26,100364571,50
143,0.06939676311917607,0.11528268551236749,4,[256],0.5,0.5,"[1000.0, 2000.0]","[8000.0, 8000.0]",1.9073486328125e-06,2.9103830456733704e-11,0.25,0.015625,5.960464477539063e-08,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([15.7458,  0.4553])","tensor([19.0824,  1.3986])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_int/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_143,100364571,50
1,0.05026974006866111,0.04549469964664311,0,[256],0.5,0.5,"[500.0, 500.0]","[500.0, 500.0]",1.9073486328125e-06,5.960464477539063e-08,0.25,0.0625,0.0009765625,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([0., 0.])","tensor([0., 0.])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_int/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_1,100364571,50
20,0.05039234919077979,0.04549469964664311,0,[256],0.5,0.5,"[500.0, 500.0]","[500.0, 500.0]",1.9073486328125e-06,2.9103830456733704e-11,0.25,0.015625,0.0625,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([0., 0.])","tensor([0., 0.])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_int/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_20,100364571,50
174,0.09256988719960765,0.0534452296819788,7,[256],0.5,0.5,"[8000.0, 8000.0]","[1000.0, 2000.0]",1.9073486328125e-06,5.960464477539063e-08,0.25,0.015625,6.103515625e-05,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([19.5813,  0.4717])","tensor([46.9645,  1.0017])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_int/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_174,100364571,50
94,0.12861696910250123,0.0989399293286219,6,[256],0.5,0.5,"[1000.0, 2000.0]","[500.0, 500.0]",1.9073486328125e-06,2.9103830456733704e-11,0.25,0.015625,6.103515625e-05,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([1.6120, 0.5116])","tensor([16.2709,  3.5410])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_int/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_94,100364571,50
41,0.049534085335948996,0.04549469964664311,0,[256],0.5,0.5,"[500.0, 500.0]","[1000.0, 2000.0]",1.9073486328125e-06,2.9103830456733704e-11,0.25,0.0625,0.0009765625,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([0., 0.])","tensor([0., 0.])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_int/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_41,100364571,50
48,0.04977930358018637,0.04549469964664311,0,[256],0.5,0.5,"[500.0, 500.0]","[8000.0, 8000.0]",1.9073486328125e-06,5.960464477539063e-08,0.25,0.0625,0.0625,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([0., 0.])","tensor([0., 0.])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_int/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_48,100364571,50
82,0.05958803334968121,0.05830388692579505,0,[256],0.5,0.5,"[1000.0, 2000.0]","[500.0, 500.0]",1.9073486328125e-06,3.725290298461914e-09,0.25,0.0625,6.103515625e-05,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([10.4068,  0.5422])","tensor([76.6584, 12.4168])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_int/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_82,100364571,50
156,0.05039234919077979,0.04549469964664311,0,[256],0.5,0.5,"[8000.0, 8000.0]","[500.0, 500.0]",1.9073486328125e-06,3.725290298461914e-09,0.25,0.015625,0.0625,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([0., 0.])","tensor([0., 0.])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_int/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_156,100364571,50
