id,train_acc,val_acc,best_epoch,vdecay,vedecay_rec,hidden_layer,out_layer,lr_hidden,lr_hidden_rec,lr_output,data_params,train_activations,val_activations,train_activations_fb,fb_angle,fb_ratio,session_name,seed,epochs
49,0.8219715546836684,0.666077738515901,42,0.5,0.0625,"[0.7, 0.7]","[0.3, 0.6]",0.001,0.1,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([40.7108, 19.8342])","tensor([41.0278, 20.3323])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_vdecay/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_vdecay_49,100364571,50
35,0.743379107405591,0.5834805653710248,36,0.15,0.015625,"[0.5, 1.0]","[0.5, 1.0]",0.001,0.1,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([40.9951, 26.5405])","tensor([41.3704, 26.7162])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_vdecay/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_vdecay_35,100364571,50
52,0.7773418342324669,0.6042402826855123,48,0.15,0.0625,"[0.7, 0.7]","[0.3, 0.6]",0.001,0.1,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([39.2186, 24.5190])","tensor([39.6817, 25.1165])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_vdecay/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_vdecay_52,100364571,50
84,0.8516429622363904,0.7036219081272085,48,0.5,0.5,"[1.5, 1.5]","[0.7, 0.7]",0.001,0.1,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([37.5783, 19.6309])","tensor([37.7093, 20.1315])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_vdecay/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_vdecay_84,100364571,50
48,0.8219715546836684,0.666077738515901,42,0.5,0.5,"[0.7, 0.7]","[0.3, 0.6]",0.001,0.1,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([40.7108, 19.8342])","tensor([41.0278, 20.3323])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_vdecay/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_vdecay_48,100364571,50
83,0.7746444335458558,0.6060070671378092,45,0.15,0.015625,"[1.5, 1.5]","[0.5, 1.0]",0.001,0.1,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([33.9651, 23.6002])","tensor([34.6402, 23.8681])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_vdecay/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_vdecay_83,100364571,50
5,0.7512260912211869,0.590547703180212,42,0.15,0.015625,"[0.3, 0.6]","[0.3, 0.6]",0.001,0.1,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([43.6277, 25.9566])","tensor([43.9000, 26.5230])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_vdecay/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_vdecay_5,100364571,50
86,0.8516429622363904,0.7036219081272085,48,0.5,0.015625,"[1.5, 1.5]","[0.7, 0.7]",0.001,0.1,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([37.5783, 19.6309])","tensor([37.7093, 20.1315])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_vdecay/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_vdecay_86,100364571,50
42,0.7817557626287396,0.6674028268551236,36,0.5,0.5,"[0.5, 1.0]","[1.5, 1.5]",0.001,0.1,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([43.3415, 23.3551])","tensor([43.6492, 23.7929])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_vdecay/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_vdecay_42,100364571,50
24,0.7876410004904365,0.6872791519434629,32,0.5,0.5,"[0.5, 1.0]","[0.3, 0.6]",0.001,0.1,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([41.1795, 19.9793])","tensor([41.4934, 21.0383])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_vdecay/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_vdecay_24,100364571,50
