id,train_acc,val_acc,best_epoch,Neurons,loss_function,loss_precision,num_bits,weight_init_bits,low_precision_weights,activation_bits,vdecay,hidden_layer,out_layer,lr_hidden,lr_output,lr_scheduler,gradient_clip,train_activations,val_activations,train_activations_fb,train_batch_size,test_batch_size,fb_angle,fb_ratio,session_name,seed,epochs
53,0.93102,0.9484,45,[100],"('random', (-1, 2))",128,16,16,15,15,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",3.814697265625e-06,0.125,none,2048,"tensor([3.7325, 4.8273])","tensor([3.8610, 4.9483])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_15_transposed_loss_direct_100364571_exp_id_53,100364571,50
100,0.32766,0.3919,44,[100],"('random', (-1, 2))",128,16,16,15,15,0.5,"[8000.0, 16000.0]","[32000.0, 64000.0]",3.814697265625e-06,0.5,none,2048,"tensor([30.0511,  3.6990])","tensor([29.8343,  3.7935])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_15_transposed_loss_direct_100364571_exp_id_100,100364571,50
72,0.17,0.3476,35,[100],"('random', (-1, 2))",128,16,16,15,15,0.5,"[8000.0, 16000.0]","[32000.0, 64000.0]",3.0517578125e-05,0.03125,none,0,"tensor([6.9964, 2.5332])","tensor([18.1039,  2.1183])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_15_transposed_loss_direct_100364571_exp_id_72,100364571,50
52,0.95846,0.9534,36,[100],"('random', (-1, 2))",128,16,16,15,15,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",3.814697265625e-06,0.125,none,2048,"tensor([4.2616, 4.9428])","tensor([4.3211, 4.6871])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_15_transposed_loss_direct_100364571_exp_id_52,100364571,50
73,0.1868,0.3855,2,[100],"('random', (-1, 2))",128,16,16,15,15,0.5,"[8000.0, 16000.0]","[32000.0, 64000.0]",3.0517578125e-05,0.03125,none,0,"tensor([7.6230, 2.6309])","tensor([19.7918,  5.2490])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_15_transposed_loss_direct_100364571_exp_id_73,100364571,50
12,0.94186,0.9446,45,[100],"('random', (-1, 2))",128,16,16,15,15,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",9.5367431640625e-07,0.125,none,0,"tensor([3.0214, 4.8635])","tensor([3.0419, 5.0241])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_15_transposed_loss_direct_100364571_exp_id_12,100364571,50
3,0.8935,0.9519,32,[100],"('random', (-1, 2))",128,16,16,15,15,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",9.5367431640625e-07,0.03125,none,512,"tensor([20.3623,  5.1368])","tensor([19.8991,  6.8626])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_15_transposed_loss_direct_100364571_exp_id_3,100364571,50
103,0.5024,0.5334,0,[100],"('random', (-1, 2))",128,16,16,15,15,0.5,"[8000.0, 16000.0]","[32000.0, 64000.0]",3.814697265625e-06,0.125,none,0,"tensor([16.5579,  3.5724])","tensor([15.9293,  3.3681])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_15_transposed_loss_direct_100364571_exp_id_103,100364571,50
63,0.59234,0.6162,1,[100],"('random', (-1, 2))",128,16,16,15,15,0.5,"[8000.0, 16000.0]","[32000.0, 64000.0]",9.5367431640625e-07,0.5,none,512,"tensor([17.2283,  3.7304])","tensor([16.8184,  3.4234])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_15_transposed_loss_direct_100364571_exp_id_63,100364571,50
10,0.8272,0.9399,41,[100],"('random', (-1, 2))",128,16,16,15,15,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",9.5367431640625e-07,0.5,none,2048,"tensor([7.5559, 5.3131])","tensor([7.5063, 8.7535])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_15_transposed_loss_direct_100364571_exp_id_10,100364571,50
